name,price_rate,room_and_property_type,latitude,longitude,person_capacity,review_count,satisfaction_guest
The Star Window: A Modern Honeymoon Cabin,331,Entire cabin,35.71711,-83.5387,2,41,4.95
Mountain Lodge Gatlinburg,332,Entire cabin,35.74459,-83.47171,6,106,5
The ELM/PanoramicMountainView/BrandNewLuxuryCabin,385,Entire cabin,35.71877,-83.53609,9,28,4.96
Mountaintop Loft With Breathtaking 180° Views!,,Entire loft,35.70713,-83.56013,4,267,4.96
"Location!  Private Hot Tub & 3,000 Game Multicade",,Entire condo,35.72883,-83.49071,6,32,4.81
Lofts 402-NEW UPDATE Heart of Downtown Gatlinburg!,,Entire condo,35.70976,-83.51323,4,215,4.78
Farmhouse 5 - Queen Cottage Downtown Gatlinburg,,Entire condo,35.71565,-83.50003,2,194,4.81
NEW! Walkable Dtwn Gatlinburg Condo w/ Pool Access,,Entire condo,35.71463,-83.50941,2,28,4.89
Westgate Smoky Mountain Resort Condo (Standard),,Entire condo,35.731815,-83.517944,4,1,5
Bear Overlook 🐻- 208 -Walk the Mnt Stream & Shops,,Entire condo,35.70947,-83.51016,8,81,4.51
"Highland Village, great location, free WiFi,",,Entire condo,35.724,-83.49643,4,20,4.95
"GT 605-Close to Annakeesta, Aquarium & Skiing!",,Entire condo,35.70824,-83.50942,6,168,4.89
Roomy Condo w/ Loft - Minutes from Hiking Trails!,,Entire condo,35.70807,-83.55998,6,100,4.95
Gorgeous Views GSMNP/Hot Tub/3.6 Miles 2 DwTn Gat,,Entire condo,35.70885,-83.55879,6,74,4.93
"New and Secluded, Sunset Views, HotTub, Multicade!",,Entire cabin,35.74309,-83.50024,4,119,4.98
Spectacular Gatlinburg Views! Cozy Cabin w/HOTTUB!,,Entire cabin,35.70403,-83.55292,6,222,4.9
Luxury 2 Story Cabin 1 Bedroom In Gatlinburg Falls,,Entire cabin,35.73509,-83.49382,6,334,4.83
Cozy 1BR cabin-Hot tub & Jacuzzi <5mi to downtown,,Entire cabin,35.74711,-83.47846,4,16,4.94
Hideaway Hill,,Entire cabin,35.74646,-83.47836,2,158,4.98
"Hawks View, Private, Free WiFi, Great View",,Entire cabin,35.77015,-83.45136,5,2,5
Big Views of Mt. LeConte/Near Downtown Gatlinburg,,Entire cabin,35.74402,-83.47834,8,91,4.92
♛Majestic 2 BR w/ VIEWS!♛Outdoor Dining♛SAUNA♛Wifi,,Entire cabin,35.704407,-83.565346,8,39,4.97
"Great location Brand New Farm house ,Game-room,",,Entire cabin,35.72927,-83.52843,8,33,5
Fun-filled 2 bedroom cabin with hot tub,,Entire cabin,35.75926,-83.47663,6,25,4.96
⛰ Awesome View. Amazing Reviews.,,Entire cabin,35.76082,-83.48901,5,317,4.93
